 SOUID,    DATE,   RR, Q_RR
107650,19860307,    0,    0
107650,19860308,    0,    0
107650,19860309,    7,    0
107650,19860310,    0,    0
107650,19860311,    0,    0
107650,19860312,    0,    0
107650,19860313,    0,    0
107650,19860314,    0,    0
107650,19860315,    0,    0
107650,19860316,    7,    0
107650,19860317,    0,    0
107650,19860318,   80,    0
107650,19860319,   17,    0
107650,19860320,   22,    0
107650,19860321,   15,    0
107650,19860322,   26,    0
107650,19860323,   52,    0
107650,19860324,    0,    0
107650,19860325,    7,    0
107650,19860326,   23,    0
107650,19860327,   38,    0
107650,19860328,   23,    0
107650,19860329,   25,    0
107650,19860330,   10,    0
107650,19860331,    5,    0
107650,19860401,    2,    0
107650,19860402,   72,    0
107650,19860403,   21,    0
107650,19860404,    4,    0
107650,19860405,    9,    0
107650,19860406,   17,    0
107650,19860407,   45,    0
107650,19860408,    1,    0
107650,19860409,    2,    0
107650,19860410,    0,    0
107650,19860411,   12,    0
107650,19860412,    6,    0
107650,19860413,   51,    0
107650,19860414,   75,    0
107650,19860415,   18,    0
107650,19860416,   37,    0
107650,19860417,    7,    0
107650,19860418,    2,    0
107650,19860419,  110,    0
107650,19860420,    1,    0
107650,19860421,   46,    0
107650,19860422,    3,    0
107650,19860423,   58,    0
107650,19860424,    7,    0
107650,19860425,    0,    0
107650,19860426,    0,    0
107650,19860427,    0,    0
107650,19860428,    1,    0
107650,19860429,    0,    0
107650,19860430,    0,    0
107650,19860501,    0,    0
107650,19860502,    1,    0
107650,19860503,    0,    0
107650,19860504,    0,    0
107650,19860505,    2,    0
107650,19860506,   14,    0
107650,19860507,    3,    0
107650,19860508,   50,    0
107650,19860509,   20,    0
107650,19860510,    2,    0
107650,19860511,    9,    0
107650,19860512,   20,    0
107650,19860513,   12,    0
107650,19860514,   29,    0
107650,19860515,    0,    0
107650,19860516,   14,    0
107650,19860517,   31,    0
107650,19860518,    0,    0
107650,19860519,   53,    0
107650,19860520,  132,    0
107650,19860521,   31,    0
107650,19860522,   20,    0
107650,19860523,    0,    0
107650,19860524,    0,    0
107650,19860525,    0,    0
107650,19860526,    0,    0
107650,19860527,    0,    0
107650,19860528,   28,    0
107650,19860529,    0,    0
107650,19860530,   12,    0
107650,19860531,   40,    0
107650,19860601,    4,    0
107650,19860602,    0,    0
107650,19860603,   34,    0
107650,19860604,    1,    0
107650,19860605,    0,    0
107650,19860606,    0,    0
107650,19860607,    0,    0
107650,19860608,    0,    0
107650,19860609,    7,    0
107650,19860610,  102,    0
107650,19860611,    3,    0
107650,19860612,    0,    0
107650,19860613,    0,    0
107650,19860614,    0,    0
107650,19860615,    0,    0
107650,19860616,    0,    0
107650,19860617,    0,    0
107650,19860618,    0,    0
107650,19860619,    0,    0
107650,19860620,    0,    0
107650,19860621,   11,    0
107650,19860622,    1,    0
107650,19860623,    9,    0
107650,19860624,    0,    0
107650,19860625,    0,    0
107650,19860626,    0,    0
107650,19860627,    0,    0
107650,19860628,    0,    0
107650,19860629,    0,    0
107650,19860630,    0,    0
107650,19860701,    0,    0
107650,19860702,    0,    0
107650,19860703,    0,    0
107650,19860704,  212,    0
107650,19860705,   16,    0
107650,19860706,    0,    0
107650,19860707,    0,    0
107650,19860708,   11,    0
107650,19860709,    0,    0
107650,19860710,   48,    0
107650,19860711,    3,    0
107650,19860712,   16,    0
107650,19860713,    0,    0
107650,19860714,    0,    0
107650,19860715,    0,    0
107650,19860716,    0,    0
107650,19860717,    0,    0
107650,19860718,    0,    0
107650,19860719,    1,    0
107650,19860720,    0,    0
107650,19860721,  136,    0
107650,19860722,    2,    0
107650,19860723,   45,    0
107650,19860724,    2,    0
107650,19860725,    2,    0
107650,19860726,    0,    0
107650,19860727,    0,    0
107650,19860728,   47,    0
107650,19860729,    0,    0
107650,19860730,    2,    0
107650,19860731,    3,    0
107650,19860801,    0,    0
107650,19860802,    0,    0
107650,19860803,  200,    0
107650,19860804,   14,    0
107650,19860805,    0,    0
107650,19860806,    3,    0
107650,19860807,    0,    0
107650,19860808,    0,    0
107650,19860809,    0,    0
107650,19860810,   15,    0
107650,19860811,    2,    0
107650,19860812,    0,    0
107650,19860813,    0,    0
107650,19860814,    0,    0
107650,19860815,    0,    0
107650,19860816,    0,    0
107650,19860817,    9,    0
107650,19860818,   58,    0
107650,19860819,    0,    0
107650,19860820,    0,    0
107650,19860821,   28,    0
107650,19860822,   29,    0
107650,19860823,   23,    0
107650,19860824,    0,    0
107650,19860825,  254,    0
107650,19860826,   13,    0
107650,19860827,   10,    0
107650,19860828,    7,    0
107650,19860829,    0,    0
107650,19860830,    2,    0
107650,19860831,    0,    0
107650,19860901,    1,    0
107650,19860902,   20,    0
107650,19860903,    0,    0
107650,19860904,    0,    0
107650,19860905,    0,    0
107650,19860906,    0,    0
107650,19860907,    0,    0
107650,19860908,    0,    0
107650,19860909,    0,    0
107650,19860910,    0,    0
107650,19860911,    0,    0
107650,19860912,    0,    0
107650,19860913,  168,    0
107650,19860914,    1,    0
107650,19860915,   38,    0
107650,19860916,    0,    0
