 SOUID,    DATE,   SS, Q_SS
116439,19850322,    8,    0
116439,19850323,    6,    0
116439,19850324,   32,    0
116439,19850325,    1,    0
116439,19850326,    0,    0
116439,19850327,   25,    0
116439,19850328,   56,    0
116439,19850329,    0,    0
116439,19850330,    0,    0
116439,19850331,   66,    0
116439,19850401,   17,    0
116439,19850402,   62,    0
116439,19850403,   42,    0
116439,19850404,    4,    0
116439,19850405,    1,    0
116439,19850406,   33,    0
116439,19850407,    8,    0
116439,19850408,   16,    0
116439,19850409,   92,    0
116439,19850410,   64,    0
116439,19850411,    3,    0
116439,19850412,   75,    0
116439,19850413,   73,    0
116439,19850414,   61,    0
116439,19850415,   35,    0
116439,19850416,   70,    0
116439,19850417,  120,    0
116439,19850418,   95,    0
116439,19850419,  106,    0
116439,19850420,   20,    0
116439,19850421,   43,    0
116439,19850422,   94,    0
116439,19850423,   70,    0
116439,19850424,  131,    0
116439,19850425,    3,    0
116439,19850426,   93,    0
116439,19850427,   16,    0
116439,19850428,   85,    0
116439,19850429,    1,    0
116439,19850430,   42,    0
116439,19850501,   68,    0
116439,19850502,   88,    0
116439,19850503,    5,    0
116439,19850504,   11,    0
116439,19850505,   37,    0
116439,19850506,  117,    0
116439,19850507,   83,    0
116439,19850508,   10,    0
116439,19850509,   52,    0
116439,19850510,    9,    0
116439,19850511,    0,    0
116439,19850512,    0,    0
116439,19850513,   24,    0
116439,19850514,    0,    0
116439,19850515,   19,    0
116439,19850516,  117,    0
116439,19850517,   78,    0
116439,19850518,   62,    0
116439,19850519,    0,    0
116439,19850520,   21,    0
116439,19850521,   38,    0
116439,19850522,   21,    0
116439,19850523,   33,    0
116439,19850524,   49,    0
116439,19850525,   51,    0
116439,19850526,   59,    0
116439,19850527,   12,    0
116439,19850528,  133,    0
116439,19850529,  149,    0
116439,19850530,  157,    0
116439,19850531,  134,    0
116439,19850601,  150,    0
116439,19850602,  149,    0
116439,19850603,  142,    0
116439,19850604,   36,    0
116439,19850605,    8,    0
116439,19850606,    0,    0
116439,19850607,    9,    0
116439,19850608,   89,    0
116439,19850609,   71,    0
116439,19850610,   75,    0
116439,19850611,    2,    0
116439,19850612,  116,    0
116439,19850613,   10,    0
116439,19850614,  107,    0
116439,19850615,  110,    0
116439,19850616,   55,    0
116439,19850617,   86,    0
116439,19850618,   15,    0
116439,19850619,   30,    0
116439,19850620,   86,    0
116439,19850621,    6,    0
116439,19850622,    3,    0
116439,19850623,   50,    0
116439,19850624,   16,    0
116439,19850625,   21,    0
116439,19850626,   51,    0
116439,19850627,   62,    0
116439,19850628,   17,    0
116439,19850629,   42,    0
116439,19850630,   58,    0
116439,19850701,  107,    0
116439,19850702,  114,    0
116439,19850703,  148,    0
116439,19850704,   95,    0
116439,19850705,   49,    0
116439,19850706,  155,    0
116439,19850707,  124,    0
116439,19850708,  115,    0
116439,19850709,  109,    0
116439,19850710,   96,    0
116439,19850711,   39,    0
116439,19850712,   35,    0
116439,19850713,   74,    0
116439,19850714,   55,    0
116439,19850715,   75,    0
116439,19850716,   67,    0
116439,19850717,  102,    0
116439,19850718,   15,    0
116439,19850719,   40,    0
116439,19850720,  110,    0
116439,19850721,  102,    0
116439,19850722,    9,    0
116439,19850723,  146,    0
116439,19850724,  100,    0
116439,19850725,  111,    0
116439,19850726,   29,    0
116439,19850727,   57,    0
116439,19850728,   31,    0
116439,19850729,   23,    0
116439,19850730,    3,    0
116439,19850731,   79,    0
116439,19850801,  100,    0
116439,19850802,    7,    0
116439,19850803,  115,    0
116439,19850804,    0,    0
116439,19850805,   35,    0
116439,19850806,   77,    0
116439,19850807,    0,    0
116439,19850808,   82,    0
116439,19850809,   32,    0
116439,19850810,   65,    0
116439,19850811,   52,    0
116439,19850812,  103,    0
116439,19850813,   27,    0
116439,19850814,   79,    0
116439,19850815,   73,    0
116439,19850816,   29,    0
116439,19850817,   91,    0
116439,19850818,    3,    0
116439,19850819,   76,    0
116439,19850820,   15,    0
116439,19850821,  117,    0
116439,19850822,   98,    0
116439,19850823,    5,    0
116439,19850824,   70,    0
116439,19850825,   94,    0
116439,19850826,   69,    0
116439,19850827,   45,    0
116439,19850828,   71,    0
116439,19850829,   80,    0
116439,19850830,  113,    0
116439,19850831,   50,    0
116439,19850901,   37,    0
116439,19850902,    7,    0
116439,19850903,   66,    0
116439,19850904,    2,    0
116439,19850905,   70,    0
116439,19850906,  114,    0
116439,19850907,   73,    0
116439,19850908,   19,    0
116439,19850909,    9,    0
116439,19850910,   73,    0
116439,19850911,  107,    0
116439,19850912,   96,    0
116439,19850913,   91,    0
116439,19850914,    0,    0
116439,19850915,   77,    0
116439,19850916,    1,    0
116439,19850917,   39,    0
116439,19850918,    8,    0
116439,19850919,    2,    0
116439,19850920,   28,    0
116439,19850921,    0,    0
116439,19850922,   62,    0
116439,19850923,   87,    0
116439,19850924,    8,    0
116439,19850925,    4,    0
116439,19850926,   74,    0
116439,19850927,   87,    0
116439,19850928,   66,    0
116439,19850929,   79,    0
116439,19850930,   48,    0
116439,19851001,   81,    0
116439,19851002,   38,    0
116439,19851003,   18,    0
116439,19851004,   70,    0
116439,19851005,   84,    0
116439,19851006,   15,    0
116439,19851007,    0,    0
116439,19851008,   61,    0
116439,19851009,   29,    0
116439,19851010,   48,    0
116439,19851011,   18,    0
116439,19851012,   54,    0
116439,19851013,   90,    0
116439,19851014,   72,    0
116439,19851015,    0,    0
116439,19851016,    0,    0
116439,19851017,    0,    0
116439,19851018,    0,    0
116439,19851019,   12,    0
116439,19851020,   88,    0
116439,19851021,   78,    0
116439,19851022,   75,    0
116439,19851023,   64,    0
116439,19851024,   75,    0
116439,19851025,   74,    0
116439,19851026,   18,    0
116439,19851027,    0,    0
116439,19851028,   20,    0
116439,19851029,    6,    0
116439,19851030,    0,    0
116439,19851031,    0,    0
116439,19851101,    5,    0
116439,19851102,   83,    0
116439,19851103,   79,    0
116439,19851104,   18,    0
116439,19851105,   46,    0
116439,19851106,   75,    0
116439,19851107,   60,    0
116439,19851108,    7,    0
116439,19851109,   21,    0
116439,19851110,   62,    0
116439,19851111,   52,    0
116439,19851112,   78,    0
116439,19851113,   78,    0
116439,19851114,    1,    0
116439,19851115,   35,    0
116439,19851116,    4,    0
116439,19851117,    0,    0
116439,19851118,   47,    0
116439,19851119,   10,    0
116439,19851120,    0,    0
116439,19851121,    0,    0
116439,19851122,    0,    0
116439,19851123,    0,    0
116439,19851124,   48,    0
116439,19851125,    1,    0
116439,19851126,    0,    0
116439,19851127,    0,    0
116439,19851128,   75,    0
116439,19851129,    1,    0
116439,19851130,    0,    0
116439,19851201,   28,    0
116439,19851202,   17,    0
116439,19851203,    0,    0
116439,19851204,    0,    0
116439,19851205,    0,    0
116439,19851206,   36,    0
116439,19851207,   54,    0
116439,19851208,    1,    0
116439,19851209,    0,    0
116439,19851210,    0,    0
116439,19851211,    0,    0
116439,19851212,   19,    0
116439,19851213,    0,    0
116439,19851214,    0,    0
116439,19851215,    0,    0
116439,19851216,    0,    0
116439,19851217,    0,    0
116439,19851218,   39,    0
116439,19851219,   47,    0
116439,19851220,    0,    0
116439,19851221,    1,    0
116439,19851222,    0,    0
116439,19851223,   43,    0
116439,19851224,    1,    0
116439,19851225,    1,    0
116439,19851226,    0,    0
116439,19851227,   32,    0
116439,19851228,    3,    0
116439,19851229,   60,    0
116439,19851230,    8,    0
116439,19851231,    0,    0
116439,19860101,   20,    0
116439,19860102,   12,    0
116439,19860103,   41,    0
116439,19860104,   23,    0
116439,19860105,    0,    0
116439,19860106,   13,    0
116439,19860107,    0,    0
116439,19860108,    0,    0
116439,19860109,    0,    0
116439,19860110,    7,    0
116439,19860111,   32,    0
116439,19860112,   40,    0
116439,19860113,    0,    0
116439,19860114,   18,    0
116439,19860115,    3,    0
116439,19860116,   39,    0
116439,19860117,    0,    0
116439,19860118,    0,    0
116439,19860119,    0,    0
116439,19860120,   45,    0
116439,19860121,   36,    0
116439,19860122,    0,    0
116439,19860123,   35,    0
116439,19860124,   77,    0
116439,19860125,   80,    0
116439,19860126,   55,    0
116439,19860127,    0,    0
116439,19860128,   52,    0
116439,19860129,    0,    0
116439,19860130,    0,    0
116439,19860131,    0,    0
116439,19860201,    0,    0
116439,19860202,    0,    0
116439,19860203,    0,    0
116439,19860204,    0,    0
116439,19860205,   51,    0
116439,19860206,    0,    0
116439,19860207,    0,    0
116439,19860208,   39,    0
116439,19860209,    8,    0
116439,19860210,   74,    0
116439,19860211,    0,    0
116439,19860212,   10,    0
116439,19860213,   86,    0
116439,19860214,    9,    0
116439,19860215,   44,    0
116439,19860216,    0,    0
116439,19860217,    0,    0
116439,19860218,    8,    0
116439,19860219,   15,    0
116439,19860220,   43,    0
116439,19860221,    2,    0
116439,19860222,    1,    0
